entry_time,exit_time,side,entry_price,exit_price,sl,tp,result,pnl,equity
2024-04-08 15:00:00,2024-04-08 16:00:00,short,0.60195,0.60227,0.6027399999999999,0.5995800000000001,sl,-3.1999999999998696,996.8000000000002
2024-04-08 20:00:00,2024-04-08 21:00:00,short,0.60292,0.60332,0.6035468571428572,0.6010394285714286,sl,-3.9999999999995595,992.8000000000005
2024-04-08 22:00:00,2024-04-09 03:00:00,short,0.6033,0.60347,0.603904,0.6014879999999998,sl,-1.7000000000000348,991.1000000000006
2024-04-12 00:00:00,2024-04-12 04:00:00,short,0.59995,0.6004499999999999,0.6009065714285714,0.5970802857142857,sl,-4.999999999999449,986.100000000001
2024-04-12 06:00:00,2024-04-12 09:00:00,short,0.60059,0.59912,0.6013391428571428,0.5983425714285713,tp,14.699999999999713,1000.8000000000008
2024-04-12 11:00:00,2024-04-12 12:00:00,long,0.5982299999999999,0.59746,0.59699,0.6019499999999997,sl,-7.699999999999374,993.1000000000014
2024-04-23 14:00:00,2024-04-23 16:00:00,long,0.5909399999999999,0.59155,0.5903799999999999,0.5926199999999999,tp,6.1000000000011045,999.2000000000025
2024-04-23 22:00:00,2024-04-24 04:00:00,short,0.59368,0.5942599999999999,0.5944245714285714,0.5914462857142857,sl,-5.799999999999139,993.4000000000034
2024-04-24 20:00:00,2024-04-25 09:00:00,long,0.5928199999999999,0.59434,0.5921759999999999,0.5947519999999998,tp,15.200000000000768,1008.6000000000041
2024-04-26 06:00:00,2024-04-26 09:00:00,short,0.59615,0.59636,0.5968522857142857,0.5940431428571427,sl,-2.100000000000435,1006.5000000000038
2024-04-29 10:00:00,2024-04-29 12:00:00,short,0.59602,0.59641,0.59758,0.59134,sl,-3.9000000000000146,1002.6000000000037
2024-04-29 23:00:00,2024-04-30 05:00:00,short,0.59801,0.5961099999999999,0.5987008571428571,0.5959374285714287,tp,19.000000000001236,1021.6000000000049
2024-05-07 23:00:00,2024-05-08 02:00:00,long,0.6002799999999999,0.59997,0.5997154285714285,0.6019737142857143,sl,-3.0999999999992145,1018.5000000000057
2024-05-08 08:00:00,2024-05-08 11:00:00,long,0.59924,0.59888,0.59876,0.6006800000000001,sl,-3.6000000000002697,1014.9000000000054
2024-05-08 13:00:00,2024-05-09 14:00:00,long,0.5988399999999999,0.59996,0.59811,0.6010299999999996,time,11.200000000001209,1026.1000000000067
2024-05-10 16:00:00,2024-05-10 17:00:00,long,0.60168,0.60329,0.601024,0.603648,sl,16.1,1042.2000000000066
2024-05-29 16:00:00,2024-05-29 17:00:00,long,0.61305,0.61251,0.6123134285714286,0.6152597142857142,sl,-5.399999999999849,1036.8000000000068
2024-05-29 23:00:00,2024-05-30 02:00:00,long,0.61179,0.61138,0.6111648571428571,0.6136654285714286,sl,-4.099999999999104,1032.7000000000078
2024-06-03 06:00:00,2024-06-03 15:00:00,short,0.61522,0.61573,0.6159125714285714,0.6131422857142859,sl,-5.1000000000001044,1027.6000000000076
2024-06-04 16:00:00,2024-06-04 17:00:00,long,0.61723,0.61693,0.61638,0.6197799999999997,sl,-2.9999999999996696,1024.6000000000079
2024-06-05 07:00:00,2024-06-05 10:00:00,short,0.61854,0.61856,0.6191005714285714,0.6168582857142856,sl,-0.20000000000020002,1024.4000000000078
2024-06-05 12:00:00,2024-06-06 03:00:00,short,0.61855,0.6196499999999999,0.6198499999999999,0.6146500000000005,sl,-10.999999999998789,1013.400000000009
2024-06-06 17:00:00,2024-06-07 15:00:00,long,0.6189,0.61937,0.61737,0.6234900000000001,sl,4.699999999999704,1018.1000000000087
2024-06-13 21:00:00,2024-06-14 02:00:00,long,0.6168899999999999,0.61621,0.6160694285714285,0.6193517142857141,sl,-6.799999999999029,1011.3000000000096
